score,pubdate,source,title,link
121,2026-02-23-02-00-00 +0000,wsj,"With the bulk of President Trump’s tariffs struck down by the Supreme Court, and a new, temporary global tariff in place, fresh questions are hanging over the U.S. economy",https://www.wsj.com/economy/trade/tariffs-are-a-wild-card-for-the-economy-again-898a0a30
101,2026-02-23-02-58-30 +0000,nypost,How brutal assasin ‘El Mencho’ became Mexico’s most wanted cartel kingpin in bloody coup before he was killed in military raid,https://nypost.com/2026/02/22/world-news/who-is-el-mencho-the-jalisco-new-generation-cartel-leader-gunned-down-by-mexican-military/
56,2026-02-22-22-13-39 +0000,nypost,Panicked passengers run for lives at Guadalajara airport as Mexican cartel violence erupts over killing of Jalisco New Generation leader,https://nypost.com/2026/02/22/world-news/panicked-air-travelers-run-for-lives-at-guadalajara-airport-as-mexican-cartel-violence-erupts-over-killing-of-jalisco-new-generation-leader/
49,2026-02-23-04-30-52 +0000,nypost,"Austin Tucker Martin, gunman shot dead by Secret Service at Mar-a-Lago, was obsessed with Epstein files: report",https://nypost.com/2026/02/22/us-news/austin-tucker-martin-gunman-shot-dead-by-secret-service-at-mar-a-lago-was-obsessed-with-epstein-files-report/
42,2026-02-23-12-08-15 +0000,nypost,"Trump invites gold-winning US men’s Olympic hockey team to State of the Union address, gushes over goalie Connor Hellebuyck in postgame phone call",https://nypost.com/2026/02/23/us-news/trump-invites-gold-winning-us-mens-olympic-hockey-team-to-state-of-the-union-address-gushes-over-goalie-connor-hellebuyck-in-postgame-phone-call/
33,2026-02-23-11-28-02 +0000,nypost,Ex-Prince Andrew charged taxpayers for massages during his stint as UK trade envoy: reports,https://nypost.com/2026/02/23/world-news/prince-andrew-charged-taxpayers-for-massages-during-his-stint-as-uk-trade-envoy-reports/
29,2026-02-23-11-13-00 +0000,wsj,This Country’s Hot Stock Market Won’t Help You Spread Your Bets,https://www.wsj.com/finance/stocks/this-countrys-hot-stock-market-wont-help-you-spread-your-bets-d46afdf1?mod=rss_markets_main
29,2026-02-23-06-42-06 +0000,nypost,Grieving North Carolina dad attacks teen son’s alleged killer in courthouse: ‘Any father would’ve did the same thing’,https://nypost.com/2026/02/23/us-news/north-carolina-dad-shaheem-snype-caught-on-video-attacking-sons-alleged-killer-at-mecklenburg-county-courthouse/
27,2026-02-23-12-04-00 +0000,wsj,"President Trump sent Netflix a clear-ish signal that it better follow his directive to remove Susan Rice from its board of directors, or else. Read more in today’s WSJ Politics Newsletter:",https://www.wsj.com/politics/policy/trumps-ominous-netflix-threat-could-impact-warner-deal-cf5da899
25,2026-02-23-14-12-04 +0000,nyt,Top Fed Official Sees Little Effect on Rate Outlook From Supreme Court’s Tariff Ruling,https://www.nytimes.com/2026/02/23/business/economy/waller-fed-supreme-court-tariffs-rates.html
