score,pubdate,source,title,link
167,2026-04-14-14-21-40 +0000,nypost,Iran-linked ships transit through Strait of Hormuz — in defiance of President Trump’s blockade,https://nypost.com/2026/04/14/world-news/iran-linked-ships-transit-through-strait-of-hormuz-in-defiance-of-president-trumps-blockade/
86,2026-04-14-12-31-52 +0000,nypost,"New Eric Swalwell victim speaks out for first time, reveals moment that shook her to her core",https://nypost.com/2026/04/14/us-news/eric-swalwell-accuser-speaks-out-for-first-time-reveals-moment-that-shook-her-to-her-core/
72,2026-04-13-21-28-14 +0000,bbc,Hungary's next PM would pick up if Putin calls and tell him to stop Ukraine war,https://www.bbc.com/news/articles/cd6lzezp4zvo?at_medium=RSS&at_campaign=rss
64,2026-04-14-01-00-00 +0000,wsj,Trump’s post of an AI-generated image depicting himself as a Christ-like figure and criticism of the pope have caused outrage among his Catholic and evangelical Christian supporters,https://www.wsj.com/politics/policy/trump-jesus-christ-truth-social-post-25a8c181
56,2026-04-14-15-07-48 +0000,bbc,Oil prices continue to fall on hopes of new US-Iran peace talks,https://www.bbc.com/news/articles/cjr9qrnp821o?at_medium=RSS&at_campaign=rss
53,2026-04-13-22-55-00 +0000,wsj,Democratic Rep. Eric Swalwell of California and Republican Rep. Tony Gonzales of Texas said Monday they planned to exit Congress in the wake of sexual-misconduct allegations,https://www.wsj.com/politics/house-removal-vote-eric-swalwell-tony-gonzales-1ffbcc38
49,2026-04-14-02-47-00 +0000,wsj,Canadian Prime Minister Mark Carney has secured a majority government after electoral victories Monday night and defections to his Liberal Party caucus over the past six months,https://www.wsj.com/world/americas/canadas-carney-secures-majority-mandate-after-electoral-wins-political-defections-2f10dcd8
48,2026-04-14-09-07-01 +0000,nypost,At least 16 injured in mass shooting at high school in Turkey after ex-student opens fire: report,https://nypost.com/2026/04/14/world-news/at-least-16-injured-in-mass-shooting-at-high-school-in-turkey-after-ex-student-opens-fire-report/
45,2026-04-14-13-03-00 +0000,wsj,"A prolonged Middle East conflict could slash global growth to rates seen only in the deepest recent recessions, the International Monetary Fund warned in its latest set of forecasts",https://www.wsj.com/economy/global/imf-warns-of-deep-global-downturn-if-war-is-prolonged-79e6ce11
39,2026-04-14-14-36-29 +0000,nypost,Kevin Warsh could become richest Fed chair in history as financial filings reveal his and Estee Lauder heiress wife’s fortunes,https://nypost.com/2026/04/14/business/kevin-warsh-could-become-richest-fed-chair-in-history-as-financial-filings-reveal-his-and-estee-lauder-heiress-wifes-fortunes/
